name,code,rating,e,s,g
한국타이어앤테크놀로지,161390,B+,A,A+,B
한국테크놀로지그룹,000240,B,B+,B+,B
한국토지신탁,034830,C,D,B,C
한국투자증권,804504,,,,B+
한국특수형강,007280,B,B,B,B
한국프랜지공업,010100,C,B,B+,C
한국항공우주,047810,A,A,A+,A
한국화장품,123690,B,D,B+,B
한국화장품제조,003350,C,D,B,B
한농화성,011500,C,C,C,B
한독,002390,B+,B+,B+,B
한라,014790,B+,B,B+,B+
한라홀딩스,060980,B+,B,B+,A
한미글로벌,053690,B+,B,B+,B+
한미반도체,042700,C,D,C,B
한미사이언스,008930,B,B,B,B
한미약품,128940,A,B+,A+,B+
한샘,009240,B+,B+,A+,B
한섬,020000,A,B+,A,A
한성기업,003680,C,D,B,C
한세실업,105630,B,C,B,B+
한세엠케이,069640,C,C,C,B
한세예스24홀딩스,016450,B,C,B,B
한솔로지스틱스,009180,B+,B,B+,A
한솔제지,213500,A,A,A,A
한솔케미칼,014680,B+,B,B+,B+
한솔테크닉스,004710,B+,B+,B+,A
한솔피엔에스,010420,A,B+,B+,A
한솔홀딩스,004150,A,B+,A,A
한솔홈데코,025750,B+,B,B+,A
한신공영,004960,C,C,B,B
한신기계공업,011700,C,B,C,C
한양증권,001750,C,D,B+,C
한온시스템,018880,B,B,B,B+
한올바이오파마,009420,B,D,B+,B
한익스프레스,014130,C,B,C,D
한일시멘트,300720,B,C,B+,B
한일철강,002220,D,D,D,C
한일현대시멘트,006390,B+,B,B+,B+
한일홀딩스,003300,B,D,B+,B+
한전KPS,051600,B+,B+,A,B+
한전기술,052690,B+,B+,A,B+
한전산업,130660,B+,B,B+,B+
한진,002320,B,B,C,B+
한진중공업,097230,B,B,B,B+
한진중공업홀딩스,003480,B,D,C,B+
한진칼,180640,B+,B,B,A
한창,005110,C,D,B,C
한창제지,009460,B,B,C,B
한화,000880,A,B+,A,A
한화생명,088350,A,A,A+,B+
한화손해보험,000370,B+,B,A,B
한화솔루션,009830,B+,A,A,B
한화에어로스페이스,012450,A,A,A,A
한화투자증권,003530,B+,B,A,B+
해성디에스,195870,A,A,A,A
해태제과식품,101530,B,D,B+,B
핸즈코퍼레이션,143210,B,B,B,B+
헬릭스미스,084990,B,D,C,B+
현대건설,000720,A,A+,A,A
현대건설기계,267270,A,B+,A,A
현대그린푸드,005440,A,B+,A,A
현대글로비스,086280,A,A,A+,A
현대로템,064350,B+,B,A,B+
현대리바트,079430,A,B,A,A
현대모비스,012330,A,B+,A+,A
현대미포조선,010620,A,A,A+,A
현대백화점,069960,A,B+,A,A
현대비앤지스틸,004560,B+,B+,A,B+
현대약품,004310,B,B,B+,B
현대에이치씨엔,126560,B+,C,A,A
현대엘리베이터,017800,A,B+,A,A
현대위아,011210,A,A,A+,A
현대일렉트릭,267260,A,A,A+,A
현대자동차,005380,A,A,A+,A
현대제철,004020,B+,B+,A,B+
현대종합상사,011760,B,D,B,B
현대중공업지주,267250,A,B+,A,A
현대차증권,001500,A,B,A+,A
현대카드,815419,,,,A
현대캐피탈,836248,,,,A+
현대커머셜,888975,,,,A
현대코퍼레이션홀딩스,227840,C,D,C,B
현대해상,001450,A,B+,A,A
현대홈쇼핑,057050,A,A,A,A
형지엘리트,093240,C,D,B,C
혜인,003010,C,B,C,C
호전실업,111110,C,D,C,B+
호텔신라,008770,A,A,A,A
화성산업,002460,B,C,B,B+
화승알앤에이,013520,B+,B+,B+,B+
화승엔터프라이즈,241590,B+,B+,B,A
화승인더스트리,006060,B,B,B,B+
화신,010690,C,D,B+,B
화인베스틸,133820,B,B,C,B
화천기계,010660,C,B,B,C
화천기공,000850,C,D,C,B
환인제약,016580,B,D,B+,B+
황금에스티,032560,D,D,C,C
효성,004800,B+,A,A+,B
효성 ITX,094280,B+,C,B+,B+
효성중공업,298040,A,A,A+,A
효성첨단소재,298050,A+,A+,A+,A
효성티앤씨,298020,A+,A+,A+,A
효성화학,298000,A+,A+,A+,A
후성,093370,C,B,C,C
휠라홀딩스,081660,B+,B,B+,B+
휴니드테크놀러지스,005870,C,C,B,B
휴비스,079980,B+,B+,B+,B+
휴스틸,005010,C,B,B,C
휴온스,243070,B,D,B+,B
휴온스글로벌,084110,B,D,B+,B
휴젤,145020,C,C,C,B
휴켐스,069260,C,B,B+,C
흥국생명보험,818586,,,,B
흥국화재,000540,B,D,A,B
흥아해운,003280,D,D,C,D
